EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-1,Snow,Light,1/6/2016 23:14,1/7/2016 0:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-2,Snow,Light,1/7/2016 4:14,1/7/2016 4:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-3,Snow,Light,1/7/2016 5:54,1/7/2016 15:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-4,Snow,Light,1/8/2016 5:34,1/8/2016 5:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-5,Snow,Light,1/8/2016 13:54,1/8/2016 15:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-6,Snow,Light,1/8/2016 16:14,1/8/2016 17:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-7,Fog,Severe,1/9/2016 12:54,1/9/2016 15:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-8,Snow,Light,1/9/2016 15:34,1/9/2016 16:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-9,Fog,Severe,1/9/2016 16:14,1/9/2016 16:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-10,Snow,Light,1/9/2016 16:34,1/9/2016 16:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-11,Cold,Severe,1/9/2016 16:54,1/9/2016 20:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-12,Fog,Severe,1/10/2016 2:54,1/10/2016 4:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-13,Fog,Severe,1/10/2016 9:34,1/10/2016 10:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-14,Snow,Light,1/10/2016 10:14,1/10/2016 10:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-15,Fog,Severe,1/10/2016 10:34,1/10/2016 10:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-16,Fog,Severe,1/10/2016 11:14,1/10/2016 13:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-17,Cold,Severe,1/10/2016 13:14,1/10/2016 21:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-18,Cold,Severe,1/11/2016 12:14,1/11/2016 12:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-19,Snow,Light,1/16/2016 9:14,1/16/2016 9:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-20,Snow,Light,1/16/2016 10:34,1/16/2016 11:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-21,Snow,Light,1/16/2016 13:24,1/16/2016 14:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-22,Snow,Light,1/16/2016 15:34,1/16/2016 15:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-23,Snow,Light,1/17/2016 7:55,1/17/2016 8:15,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-24,Snow,Light,1/17/2016 8:35,1/17/2016 10:15,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-25,Snow,Light,1/17/2016 11:55,1/17/2016 12:55,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-26,Snow,Light,1/17/2016 13:55,1/17/2016 14:15,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
